ID,year,school,247,rivals
beaniewells_ohiostate,2006,ohiostate,None,false
raysmall_ohiostate,2006,ohiostate,None,false
tommykujawa_iowa,2017,iowa,None,false
bencampos_iowa,2017,iowa,None,false
jackkoerner_iowa,2017,iowa,None,false
joeludwig_iowa,2017,iowa,None,false
kylerschott_iowa,2017,iowa,None,false
bryceschulte_iowa,2017,iowa,None,false
drewthomas_iowa,2017,iowa,None,false
samedmiston_wisconsin,2009,wisconsin,None,false
clintonheckner_wisconsin,2009,wisconsin,None,false
alexdietzen_wisconsin,2009,wisconsin,None,false
ethanhemer_wisconsin,2009,wisconsin,None,false
antavianedison_purdue,2009,purdue,None,false
henrylorenzen_purdue,2009,purdue,None,false
ahmirmitchell_rutgers,2016,rutgers,None,false
michaelmaietti_rutgers,2016,rutgers,None,false
jasongriggs_rutgers,2016,rutgers,None,false
aslanpugh_rutgers,2016,rutgers,None,false
matthewsportelli_rutgers,2016,rutgers,None,false
princetaylor_rutgers,2016,rutgers,None,false
raniabdulaziz_rutgers,2017,rutgers,None,false
ryancassidy_rutgers,2017,rutgers,None,false
parkerday_rutgers,2017,rutgers,None,false
ryandowner_rutgers,2017,rutgers,None,false
billytaylor_rutgers,2017,rutgers,None,false
charleszarzecki_rutgers,2017,rutgers,None,false
deucespann_illinois,2020,illinois,None,false
johnnynewton_illinois,2020,illinois,None,false
hughrobertson_illinois,2020,illinois,None,false
denniskelly_purdue,2008,purdue,None,false
bradnortman_wisconsin,2008,wisconsin,None,false
rickywagner_wisconsin,2008,wisconsin,None,false
robertburge_wisconsin,2008,wisconsin,None,false
gensonhooperprice_northwestern,2019,northwestern,None,false
natestanley_iowa,2016,iowa,None,false
moisefokou_maryland,2007,maryland,None,false
alexshackleton_michiganstate,2006,michiganstate,None,false
nickbendzuck_michiganstate,2006,michiganstate,None,false
alexerickson_wisconsin,2012,wisconsin,None,false
jackcichy_wisconsin,2012,wisconsin,None,false
anthonytortorelli_pennstate,2007,pennstate,None,false
andyjamesgarcia_purdue,2012,purdue,None,false
bjknauf_purdue,2012,purdue,None,false
rubenibarra_purdue,2012,purdue,None,false
ryandebusk_purdue,2012,purdue,None,false
jjprince_purdue,2012,purdue,None,false
evanfeichter_purdue,2012,purdue,None,false
reggiebracy_iowa,2020,iowa,None,false
skylerburkland_michiganstate,2010,michiganstate,None,false
jeffbobek_michiganstate,2010,michiganstate,None,false
andrewgleichert_michiganstate,2010,michiganstate,None,false
tyhamilton_michiganstate,2010,michiganstate,None,false
shawnkamm_michiganstate,2010,michiganstate,None,false
joshperryman_michiganstate,2010,michiganstate,None,false
jordansanders_michiganstate,2010,michiganstate,None,false
garywooten_pennstate,2011,pennstate,None,false
ajhendy_maryland,2011,maryland,None,false
nateclarke_maryland,2011,maryland,None,false
naterenfro_maryland,2011,maryland,None,false
codymadison_northwestern,2003,northwestern,None,false
petermortell_minnesota,2011,minnesota,None,false
ryanwynn_minnesota,2007,minnesota,None,false
travisperry_iowa,2011,iowa,None,false
marshallkoehn_iowa,2011,iowa,None,false
keandrelambert_pennstate,2020,pennstate,None,false
amifinau_maryland,2020,maryland,None,false
ericguthrie_iowa,2007,iowa,None,false
tomdonatell_iowa,2007,iowa,None,false
woodyorne_iowa,2007,iowa,None,false
thomasnardo_iowa,2007,iowa,None,false
joeaudlehelm_iowa,2007,iowa,None,false
joeforgy_iowa,2007,iowa,None,false
mattmcbride_rutgers,2010,rutgers,None,false
jasondann_nebraska,2010,nebraska,None,false
joeyfelici_nebraska,2010,nebraska,None,false
derekfoster_nebraska,2010,nebraska,None,false
andygdowski_nebraska,2010,nebraska,None,false
andrewholt_nebraska,2010,nebraska,None,false
keeganhughes_nebraska,2010,nebraska,None,false
robjensen_nebraska,2010,nebraska,None,false
tysonmcgill_nebraska,2010,nebraska,None,false
jcmoore_nebraska,2010,nebraska,None,false
markpelini_nebraska,2010,nebraska,None,false
trevorroach_nebraska,2010,nebraska,None,false
dillonschrodt_nebraska,2010,nebraska,None,false
jacobsmith_nebraska,2010,nebraska,None,false
zachtaylor_nebraska,2010,nebraska,None,false
jeffuher_nebraska,2010,nebraska,None,false
yusefwade_nebraska,2010,nebraska,None,false
austinwilliams_nebraska,2010,nebraska,None,false
tylerwullenwaber_nebraska,2010,nebraska,None,false
joshbart_nebraska,2010,nebraska,None,false
danielrhodes_illinois,2011,illinois,None,false
zachgrant_illinois,2011,illinois,None,false
williebeavers_illinois,2011,illinois,None,false
austincarr_northwestern,2012,northwestern,None,false
markwilliams_minnesota,2016,minnesota,None,false
wisdomonyegbule_illinois,2007,illinois,None,false
matteller_illinois,2007,illinois,None,false
djturner_maryland,2016,maryland,None,false
tyrrellpigrome_maryland,2016,maryland,None,false
wadelees_maryland,2016,maryland,None,false
cambrown_pennstate,2016,pennstate,None,false
moburnam_indiana,2017,indiana,None,false
alfredbryant_indiana,2017,indiana,None,false
zendendellinger_indiana,2017,indiana,None,false
whopphilyor_indiana,2017,indiana,None,false
tyfryfogle_indiana,2017,indiana,None,false
samuelslusher_indiana,2017,indiana,None,false
jackcardillo_indiana,2017,indiana,None,false
lashawnpaulinobell_michiganstate,2017,michiganstate,None,false
colehahn_michiganstate,2017,michiganstate,None,false
richardworshipiii_purdue,2015,purdue,None,false
zanderneuville_wisconsin,2014,wisconsin,None,false
timothycasonii_purdue,2014,purdue,None,false
djknox_purdue,2014,purdue,None,false
matthewallen_michiganstate,2016,michiganstate,None,false
grahamdanielson_wisconsin,2002,wisconsin,None,false
jeffokudah_ohiostate,2017,ohiostate,None,false
michaelmiranda_pennstate,2017,pennstate,None,false
camsullivanbrown_pennstate,2017,pennstate,None,false
desholmes_pennstate,2017,pennstate,None,false
nathanaelsnyder_indiana,2016,indiana,None,false
connorthomas_indiana,2016,indiana,None,false
camspence_maryland,2017,maryland,None,false
chrisautmanbell_minnesota,2017,minnesota,None,false
jacobpaulson_minnesota,2017,minnesota,None,false
reyestes_minnesota,2017,minnesota,None,false
harrisonvandyne_minnesota,2017,minnesota,None,false
matthewhibner_michigan,2020,michigan,None,false
ajwilliams_illinois,2010,illinois,None,false
patrickdunn_illinois,2010,illinois,None,false
nickforzley_illinois,2010,illinois,None,false
nickimmekus_illinois,2010,illinois,None,false
bradjanitz_illinois,2010,illinois,None,false
jakekumerow_illinois,2010,illinois,None,false
alexporter_illinois,2010,illinois,None,false
joevanderheyden_illinois,2010,illinois,None,false
claytonfejedelem_illinois,2010,illinois,None,false
anthonywilliams_illinois,2010,illinois,None,false
chaseharper_nebraska,2011,nebraska,None,false
givensprice_nebraska,2011,nebraska,None,false
jaquriussmith_purdue,2018,purdue,None,false
willielane_purdue,2018,purdue,None,false
alfredarmour_purdue,2018,purdue,None,false
alexandersmith_wisconsin,2018,wisconsin,None,false
kekoacrawford_michigan,2016,michigan,None,false
mikecaputo_nebraska,2007,nebraska,None,false
austincassidy_nebraska,2007,nebraska,None,false
austinjones_nebraska,2007,nebraska,None,false
tylerlegate_nebraska,2007,nebraska,None,false
lukelingenfelter_nebraska,2007,nebraska,None,false
jaymartin_nebraska,2007,nebraska,None,false
mathewmay_nebraska,2007,nebraska,None,false
lancethorell_nebraska,2007,nebraska,None,false
lemwatleyneely_indiana,2020,indiana,None,false
chrisbradberry_indiana,2020,indiana,None,false
blakehaluska_iowa,2010,iowa,None,false
johnchelf_iowa,2010,iowa,None,false
briankroll_iowa,2010,iowa,None,false
jordanprice_iowa,2010,iowa,None,false
markweisman_iowa,2010,iowa,None,false
palmerfoster_iowa,2010,iowa,None,false
lucasspeaker_iowa,2010,iowa,None,false
coleheissel_iowa,2010,iowa,None,false
mikemeyer_iowa,2010,iowa,None,false
fozzywhittaker_texas,2007,texas,None,false
zachaustin_texastech,2013,texastech,None,false
collinbowen_texastech,2013,texastech,None,false
kyleheffron_texastech,2013,texastech,None,false
jadeionhigh_texastech,2013,texastech,None,false
talornunez_texastech,2013,texastech,None,false
aaronbennett_texastech,2013,texastech,None,false
nicolassession_oklahomastate,2020,oklahomastate,None,false
allanpatrick_oklahoma,2006,oklahoma,None,false
jacobborcila_kansas,2019,kansas,None,false
haydenhatcher_kansas,2019,kansas,None,false
pauldawson_tcu,2011,tcu,None,false
davidporter_tcu,2011,tcu,None,false
josephpowell_oklahoma,2010,oklahoma,None,false
